"1","СМИРНОВ","9.66","5.87","2.3","0.83","0.23","0.08","0.35"
"2","ИВАНОВ","7.77","1.07","1.93","2.76","0.5","0.4","1.11"
"3","КУЗНЕЦОВ","5.41","1.93","1.38","0.47","0.88","0.33","0.42"
"4","ПОПОВ","4.75","1.04","0.14","0.23","1.8","0.82","0.72"
"5","СОКОЛОВ","4.36","1.79","1.54","0.43","0.35","0.16","0.09"
"6","ЛЕБЕДЕВ","3.92","1.94","1.29","0.29","0.1","0.09","0.21"
"7","КОЗЛОВ","3.45","0.64","1.21","0.96","0.14","0.22","0.28"
"8","НОВИКОВ","3.21","0.14","0.57","1.22","0.73","0.39","0.16"
"9","МОРОЗОВ","3.16","0.71","0.87","0.43","0.6","0.24","0.31"
"10","ПЕТРОВ","2.65","0.27","0.73","0.86","0.27","0.16","0.36"
"11","ВОЛКОВ","2.63","0.49","0.93","0.53","0.25","0.21","0.22"
"12","СОЛОВЬЁВ","2.61","0.88","0.71","0.66","0.03","0.16","0.17"
"13","ВАСИЛЬЕВ","2.52","0.33","0.55","0.93","0.21","0.15","0.35"
"14","ЗАЙЦЕВ","2.46","0.65","0.64","0.58","0.11","0.17","0.31"
"15","ПАВЛОВ","2.34","0.38","0.55","0.65","0.4","0.15","0.21"
"16","СЕМЁНОВ","2.11","0.15","0.32","0.55","0.64","0.18","0.27"
"17","ГОЛУБЕВ","1.92","0.81","0.78","0.27","0.03","0.01","0.02"
"18","ВИНОГРАДОВ","1.87","1.13","0.5","0.14","0.02","0.02","0.06"
"19","БОГДАНОВ","1.83","0.05","0.15","0.37","0.93","0.14","0.19"
"20","ВОРОБЬЁВ","1.79","0.43","0.64","0.34","0.05","0.14","0.19"
"21","ФЁДОРОВ","1.69","0.13","0.36","0.66","0.16","0.11","0.27"
"22","МИХАЙЛОВ","1.68","0.12","0.27","0.64","0.18","0.18","0.29"
"23","БЕЛЯЕВ","1.67","0.62","0.43","0.13","0.16","0.15","0.18"
"24","ТАРАСОВ","1.66","0.37","0.07","0.22","0.6","0.22","0.18"
"25","БЕЛОВ","1.65","0.4","0.71","0.25","0.05","0.04","0.2"
"26","КОМАРОВ","1.62","0.51","0.41","0.29","0.24","0.05","0.12"
"27","ОРЛОВ","1.61","0.43","0.51","0.3","0.06","0.09","0.22"
"28","КИСЕЛЁВ","1.58","0.26","0.57","0.29","0.11","0.06","0.29"
"29","МАКАРОВ","1.57","0.24","0.31","0.26","0.43","0.1","0.23"
"30","АНДРЕЕВ","1.55","0.18","0.28","0.46","0.24","0.16","0.23"
"31","КОВАЛЁВ","1.56","0.1","0.2","0.64","0.05","0.41","0.16"
"32","ИЛЬИН","1.53","0.01","0.14","0.39","0.81","0.12","0.06"
"33","ГУСЕВ","1.53","0.36","0.58","0.18","0.18","0.08","0.15"
"34","ТИТОВ","1.52","0.1","0.23","0.39","0.38","0.16","0.26"
"35","КУЗЬМИН","1.49","0.08","0.18","0.34","0.74","0.05","0.1"
"36","КУДРЯВЦЕВ","1.47","0.66","0.4","0.23","0.03","0.08","0.07"
"37","БАРАНОВ","1.46","0.32","0.61","0.25","0.01","0.06","0.21"
"38","КУЛИКОВ","1.4","0.22","0.78","0.12","0.08","0.12","0.08"
"39","АЛЕКСЕЕВ","1.35","0.09","0.41","0.39","0.07","0.18","0.21"
"40","СТЕПАНОВ","1.34","0.14","0.24","0.45","0.04","0.18","0.29"
"41","ЯКОВЛЕВ","1.29","0.11","0.2","0.4","0.23","0.18","0.17"
"42","СОРОКИН","1.29","0.24","0.36","0.28","0.07","0.23","0.11"
"43","СЕРГЕЕВ","1.28","0.12","0.23","0.4","0.09","0.2","0.24"
"44","РОМАНОВ","1.28","0.17","0.3","0.52","0.11","0.06","0.12"
"45","ЗАХАРОВ","1.28","0.09","0.22","0.31","0.19","0.26","0.21"
"46","БОРИСОВ","1.28","0.18","0.34","0.37","0.26","0.08","0.05"
"47","КОРОЛЁВ","1.25","0.26","0.46","0.25","0.11","0.06","0.11"
"48","ГЕРАСИМОВ","1.22","0.59","0.11","0.21","0.09","0.1","0.12"
"49","ПОНОМАРЁВ","1.23","0.18","0.09","0.05","0.6","0.15","0.16"
"50","ГРИГОРЬЕВ","1.21","0.11","0.22","0.47","0.07","0.06","0.28"
